bundesland,jahr,monat,real,real-veraenderung,nominal,nominal-veraenderung
Bremen,2020,April,21.9,-76.4,24.3,-75.8
Bremen,2020,Mai,34.9,-67.5,38.6,-67.1
Bremen,2020,Juni,53.6,-46.7,59.5,-45.9
Bremen,2020,Juli,69.3,-24.8,79.9,-20.5
Bremen,2020,August,66.9,-38.1,77.5,-34.2
Bremen,2020,September,73.7,-31.8,85.1,-28.4
Bremen,2020,Oktober,59.9,-39.8,69.3,-36.6
Bremen,2020,November,27.6,-73.3,31.7,-72.1
Bremen,2020,Dezember,27,-76.3,31,-75.1
Bremen,2021,Januar,23.7,-70.3,26.8,-69.4
Bremen,2021,Februar,22.1,-74.7,25,-73.9
Bremen,2021,März,28.2,-43.5,31.8,-42.1
Bremen,2021,April,26.8,22.4,30.3,24.7
Bremen,2021,Mai,41.1,17.8,46.6,20.7
Bremen,2021,Juni,60,11.9,69.3,16.5
Bremen,2021,Juli,80,15.4,92.6,15.9
Bremen,2021,August,85.1,27.2,98.6,27.2
Bremen,2021,September,84.1,14.1,97.8,14.9
Bremen,2021,Oktober,83.9,40.1,98,41.4
Bremen,2021,November,75.5,173.6,88.2,178.2
Bremen,2021,Dezember,67.6,150.4,79.2,155.5
Bremen,2022,Januar,49.3,108,57.6,114.9
Bremen,2022,Februar,59.5,169.2,70.2,180.8
Bremen,2022,März,68.5,142.9,81.6,156.6
Bremen,2022,April,73.6,174.6,88.4,191.7
Bremen,2022,Mai,...,...,...,...
Bremen,2022,Juni,...,...,...,...
Bremen,2022,Juli,...,...,...,...
Bremen,2022,August,...,...,...,...
Bremen,2022,September,...,...,...,...
Bremen,2022,Oktober,...,...,...,...
Bremen,2022,November,...,...,...,...
Bremen,2022,Dezember,...,...,...,...
Hamburg,2020,Januar,...,...,...,...
Hamburg,2020,Februar,...,...,...,...
Hamburg,2020,März,...,...,...,...
Hamburg,2020,April,...,...,...,...
Hamburg,2020,Mai,...,...,...,...
Hamburg,2020,Juni,...,...,...,...
Hamburg,2020,Juli,...,...,...,...
Hamburg,2020,August,...,...,...,...
Hamburg,2020,September,...,...,...,...
Hamburg,2020,Oktober,...,...,...,...
Hamburg,2020,November,...,...,...,...
Hamburg,2020,Dezember,...,...,...,...
Hamburg,2021,Januar,...,...,...,...
Hamburg,2021,Februar,...,...,...,...
Hamburg,2021,März,...,...,...,...
Hamburg,2021,April,...,...,...,...
Hamburg,2021,Mai,...,...,...,...
Hamburg,2021,Juni,...,...,...,...
Hamburg,2021,Juli,...,...,...,...
Hamburg,2021,August,...,...,...,...
Hamburg,2021,September,...,...,...,...
Hamburg,2021,Oktober,...,...,...,...
Hamburg,2021,November,...,...,...,...
Hamburg,2021,Dezember,...,...,...,...
Hamburg,2022,Januar,...,...,...,...
Hamburg,2022,Februar,...,...,...,...
Hamburg,2022,März,...,...,...,...
Hamburg,2022,April,...,...,...,...
Hamburg,2022,Mai,...,...,...,...
Hamburg,2022,Juni,...,...,...,...
Hamburg,2022,Juli,...,...,...,...
Hamburg,2022,August,...,...,...,...
Hamburg,2022,September,...,...,...,...
Hamburg,2022,Oktober,...,...,...,...
Hamburg,2022,November,...,...,...,...
Hamburg,2022,Dezember,...,...,...,...
Hessen,2020,Januar,91,-2.4,99.5,0.1
Hessen,2020,Februar,93.1,-3.2,102,-1
Hessen,2020,März,57.3,-47.6,62.8,-46.3
Hessen,2020,April,22.1,-77.4,24.3,-77.1
Hessen,2020,Mai,35,-69.1,38.8,-68.6
Hessen,2020,Juni,50.8,-52.4,56.5,-51.6
Hessen,2020,Juli,61.6,-36.7,71.3,-32.7
Hessen,2020,August,65.5,-35.6,75.8,-31.6
Hessen,2020,September,69.1,-38.3,79.9,-35.1
Hessen,2020,Oktober,61.5,-43.2,71.1,-40.3
Hessen,2020,November,33.5,-70,38.3,-68.7
Hessen,2020,Dezember,31.8,-69.1,36.5,-67.6
Hessen,2021,Januar,27,-70.3,30.5,-69.3
Hessen,2021,Februar,26.8,-71.2,30.3,-70.3
Hessen,2021,März,32.1,-44,36.2,-42.4
Hessen,2021,April,30.4,37.6,34.5,42
Hessen,2021,Mai,34.6,-1.1,39.6,2.1
Hessen,2021,Juni,55.6,9.4,64.6,14.3
Hessen,2021,Juli,69.5,12.8,81,13.6
Hessen,2021,August,72.3,10.4,84.5,11.5
Hessen,2021,September,78.4,13.5,91.5,14.5
Hessen,2021,Oktober,78.3,27.3,91.6,28.8
Hessen,2021,November,72.2,115.5,84.4,120.4
Hessen,2021,Dezember,60.9,91.5,71.6,96.2
Hessen,2022,Januar,49.2,82.2,58,90.2
Hessen,2022,Februar,52.2,94.8,61.9,104.3
Hessen,2022,März,65,102.5,77.5,114.1
Hessen,2022,April,69.6,128.9,83.9,143.2
Hessen,2022,Mai,88.5,155.8,107.8,172.2
Hessen,2022,Juni,90.3,62.4,111.4,72.4
Hessen,2022,Juli,...,...,...,...
